game_pk,season,official_date,game_date,game_type,away_team_id,away_team,away_score,home_team_id,home_team,home_score,home_win,total_runs,run_diff_home
778563,2025,2025-03-18,2025-03-18,R,119,Los Angeles Dodgers,4,112,Chicago Cubs,1,0,5,-3
778564,2025,2025-03-19,2025-03-19,R,119,Los Angeles Dodgers,6,112,Chicago Cubs,3,0,9,-3
778545,2025,2025-03-27,2025-03-27,R,144,Atlanta Braves,4,135,San Diego Padres,7,1,11,3
778546,2025,2025-03-27,2025-03-27,R,116,Detroit Tigers,4,119,Los Angeles Dodgers,5,1,9,1
778547,2025,2025-03-27,2025-03-27,R,133,Athletics,2,136,Seattle Mariners,4,1,6,2
778551,2025,2025-03-27,2025-03-27,R,142,Minnesota Twins,3,138,St. Louis Cardinals,5,1,8,2
778552,2025,2025-03-27,2025-03-27,R,112,Chicago Cubs,10,109,Arizona Diamondbacks,6,0,16,-4
778553,2025,2025-03-27,2025-03-27,R,111,Boston Red Sox,5,140,Texas Rangers,2,0,7,-3
778554,2025,2025-03-27,2025-03-27,R,108,Los Angeles Angels,1,145,Chicago White Sox,8,1,9,7
778555,2025,2025-03-27,2025-03-27,R,143,Philadelphia Phillies,7,120,Washington Nationals,3,0,10,-4
778556,2025,2025-03-27,2025-03-27,R,110,Baltimore Orioles,12,141,Toronto Blue Jays,2,0,14,-10
778557,2025,2025-03-27,2025-03-27,R,158,Milwaukee Brewers,2,147,New York Yankees,4,1,6,2
778558,2025,2025-03-27,2025-03-27,R,114,Cleveland Guardians,7,118,Kansas City Royals,4,0,11,-3
778559,2025,2025-03-27,2025-03-27,R,121,New York Mets,1,117,Houston Astros,3,1,4,2
778561,2025,2025-03-27,2025-03-27,R,137,San Francisco Giants,6,113,Cincinnati Reds,4,0,10,-2
778562,2025,2025-03-27,2025-03-27,R,134,Pittsburgh Pirates,4,146,Miami Marlins,5,1,9,1
778518,2025,2025-03-28,2025-03-28,R,121,New York Mets,3,117,Houston Astros,1,0,4,-2
778541,2025,2025-03-28,2025-03-28,R,133,Athletics,7,136,Seattle Mariners,0,0,7,-7
778542,2025,2025-03-28,2025-03-28,R,144,Atlanta Braves,3,135,San Diego Padres,4,1,7,1
778543,2025,2025-03-28,2025-03-28,R,112,Chicago Cubs,1,109,Arizona Diamondbacks,8,1,9,7
778544,2025,2025-03-28,2025-03-28,R,116,Detroit Tigers,5,119,Los Angeles Dodgers,8,1,13,3
778548,2025,2025-03-28,2025-03-28,R,134,Pittsburgh Pirates,4,146,Miami Marlins,3,0,7,-1
778549,2025,2025-03-28,2025-03-28,R,110,Baltimore Orioles,2,141,Toronto Blue Jays,8,1,10,6
778550,2025,2025-03-28,2025-03-28,R,111,Boston Red Sox,1,140,Texas Rangers,4,1,5,3
778560,2025,2025-03-28,2025-03-28,R,115,Colorado Rockies,2,139,Tampa Bay Rays,3,1,5,1
778520,2025,2025-03-29,2025-03-29,R,144,Atlanta Braves,0,135,San Diego Padres,1,1,1,1
778521,2025,2025-03-29,2025-03-29,R,133,Athletics,4,136,Seattle Mariners,2,0,6,-2
778528,2025,2025-03-29,2025-03-29,R,142,Minnesota Twins,1,138,St. Louis Cardinals,5,1,6,4
778529,2025,2025-03-29,2025-03-29,R,114,Cleveland Guardians,3,118,Kansas City Royals,4,1,7,1
778530,2025,2025-03-29,2025-03-29,R,121,New York Mets,1,117,Houston Astros,2,1,3,1
778531,2025,2025-03-29,2025-03-29,R,111,Boston Red Sox,3,140,Texas Rangers,4,1,7,1
778532,2025,2025-03-29,2025-03-29,R,112,Chicago Cubs,4,109,Arizona Diamondbacks,3,0,7,-1
778533,2025,2025-03-29,2025-03-29,R,116,Detroit Tigers,3,119,Los Angeles Dodgers,7,1,10,4
778534,2025,2025-03-29,2025-03-29,R,108,Los Angeles Angels,1,145,Chicago White Sox,0,0,1,-1
778535,2025,2025-03-29,2025-03-29,R,143,Philadelphia Phillies,11,120,Washington Nationals,6,0,17,-5
778536,2025,2025-03-29,2025-03-29,R,110,Baltimore Orioles,9,141,Toronto Blue Jays,5,0,14,-4
778537,2025,2025-03-29,2025-03-29,R,115,Colorado Rockies,2,139,Tampa Bay Rays,1,0,3,-1
778538,2025,2025-03-29,2025-03-29,R,158,Milwaukee Brewers,9,147,New York Yankees,20,1,29,11
778539,2025,2025-03-29,2025-03-29,R,134,Pittsburgh Pirates,4,146,Miami Marlins,5,1,9,1
778540,2025,2025-03-29,2025-03-29,R,137,San Francisco Giants,2,113,Cincinnati Reds,3,1,5,1
778510,2025,2025-03-30,2025-03-30,R,114,Cleveland Guardians,6,118,Kansas City Royals,2,0,8,-4
778513,2025,2025-03-30,2025-03-30,R,133,Athletics,1,136,Seattle Mariners,2,1,3,1
778514,2025,2025-03-30,2025-03-30,R,144,Atlanta Braves,0,135,San Diego Padres,5,1,5,5
778515,2025,2025-03-30,2025-03-30,R,112,Chicago Cubs,6,109,Arizona Diamondbacks,10,1,16,4
778516,2025,2025-03-30,2025-03-30,R,111,Boston Red Sox,2,140,Texas Rangers,3,1,5,1
778517,2025,2025-03-30,2025-03-30,R,142,Minnesota Twins,2,138,St. Louis Cardinals,9,1,11,7
778519,2025,2025-03-30,2025-03-30,R,134,Pittsburgh Pirates,2,146,Miami Marlins,3,1,5,1
778522,2025,2025-03-30,2025-03-30,R,137,San Francisco Giants,6,113,Cincinnati Reds,3,0,9,-3
778523,2025,2025-03-30,2025-03-30,R,158,Milwaukee Brewers,3,147,New York Yankees,12,1,15,9
778524,2025,2025-03-30,2025-03-30,R,115,Colorado Rockies,4,139,Tampa Bay Rays,6,1,10,2
778525,2025,2025-03-30,2025-03-30,R,110,Baltimore Orioles,1,141,Toronto Blue Jays,3,1,4,2
778526,2025,2025-03-30,2025-03-30,R,143,Philadelphia Phillies,1,120,Washington Nationals,5,1,6,4
778527,2025,2025-03-30,2025-03-30,R,108,Los Angeles Angels,3,145,Chicago White Sox,2,0,5,-1
778496,2025,2025-03-31,2025-03-31,R,116,Detroit Tigers,9,136,Seattle Mariners,6,0,15,-3
778499,2025,2025-03-31,2025-03-31,R,114,Cleveland Guardians,2,135,San Diego Padres,7,1,9,5
778500,2025,2025-03-31,2025-03-31,R,144,Atlanta Braves,1,119,Los Angeles Dodgers,6,1,7,5
778501,2025,2025-03-31,2025-03-31,R,112,Chicago Cubs,18,133,Athletics,3,0,21,-15
778502,2025,2025-03-31,2025-03-31,R,115,Colorado Rockies,1,143,Philadelphia Phillies,6,1,7,5
778503,2025,2025-03-31,2025-03-31,R,108,Los Angeles Angels,5,138,St. Louis Cardinals,4,0,9,-1
778504,2025,2025-03-31,2025-03-31,R,118,Kansas City Royals,11,158,Milwaukee Brewers,1,0,12,-10
778505,2025,2025-03-31,2025-03-31,R,137,San Francisco Giants,7,117,Houston Astros,2,0,9,-5
778506,2025,2025-03-31,2025-03-31,R,142,Minnesota Twins,0,145,Chicago White Sox,9,1,9,9
778507,2025,2025-03-31,2025-03-31,R,120,Washington Nationals,2,141,Toronto Blue Jays,5,1,7,3
