"last_name, first_name",player_id,year,k_percent,bb_percent,xwoba,xera,xba,whiff_percent,exit_velocity_avg,barrel_batted_rate,p_formatted_ip,p_game,pa
"Fedde, Erick",607200,2025,13.3,10.8,0.355,5.41,0.275,18.0,90.2,7.9,141.0,32,623
"Senga, Kodai",673540,2025,22.6,11.4,0.309,3.96,0.225,27.4,88.9,8.0,113.1,22,482
"Fried, Max",608331,2025,23.6,6.4,0.287,3.38,0.232,26.6,87.2,6.9,195.1,32,801
"Suarez, Ranger",624133,2025,23.2,5.8,0.278,3.16,0.226,22.2,86.5,5.5,157.1,26,651
"Taillon, Jameson",592791,2025,18.9,5.2,0.305,3.85,0.241,20.8,88.3,8.1,129.2,23,519
"Sale, Chris",519242,2025,32.4,6.3,0.264,2.84,0.205,30.1,87.2,6.3,125.2,21,510
"Kikuchi, Yusei",579328,2025,22.5,9.6,0.327,4.48,0.25,23.6,91.0,9.4,178.1,33,772
"Severino, Luis",622663,2025,17.6,7.1,0.331,4.61,0.266,18.3,88.3,6.0,162.2,29,705
"Singer, Brady",663903,2025,22.8,8.4,0.32,4.27,0.243,24.0,90.3,9.4,169.2,32,716
"Parker, Mitchell",680730,2025,14.2,8.0,0.37,5.96,0.297,19.6,92.3,9.7,164.2,33,725
"Holmes, Clay",605280,2025,18.2,9.3,0.322,4.33,0.245,22.1,89.7,6.8,165.2,33,708
"Alcantara, Sandy",645261,2025,19.1,7.7,0.332,4.64,0.262,20.9,90.7,8.6,174.2,31,745
"Peterson, David",656849,2025,20.7,9.0,0.331,4.61,0.27,24.0,90.6,6.4,168.2,30,723
"Irvin, Jake",663623,2025,15.8,7.9,0.36,5.59,0.273,18.2,90.4,12.0,180.0,33,787
"Cecconi, Slade",677944,2025,20.0,5.9,0.343,4.99,0.267,22.5,91.7,12.2,132.0,23,545
"Lord, Brad",695418,2025,19.8,7.9,0.335,4.73,0.27,21.3,88.5,7.1,130.2,48,546
"deGrom, Jacob",594798,2025,27.7,5.5,0.286,3.36,0.221,30.2,90.1,9.3,172.2,30,669
"Mikolas, Miles",571945,2025,14.9,5.5,0.351,5.27,0.271,16.5,89.3,12.7,156.1,31,669
"Pivetta, Nick",601713,2025,26.4,6.9,0.309,3.96,0.228,24.6,90.3,10.9,181.2,31,721
"Castillo, Luis",622491,2025,21.7,6.2,0.312,4.04,0.245,24.6,90.3,10.4,180.2,32,745
"Skenes, Paul",694973,2025,29.5,5.7,0.255,2.65,0.202,30.1,87.6,5.8,187.2,32,733
"Paddack, Chris",663978,2025,16.7,5.5,0.344,5.03,0.273,20.7,90.7,10.2,158.0,33,670
"Ober, Bailey",641927,2025,19.2,5.0,0.323,4.36,0.248,24.1,89.6,10.9,146.1,27,624
"Rodón, Carlos",607074,2025,25.7,9.3,0.285,3.33,0.206,30.3,88.6,7.6,195.1,33,789
"Cabrera, Edward",665795,2025,25.8,8.3,0.312,4.04,0.238,29.4,90.3,8.6,137.2,26,581
"Wacha, Michael",608379,2025,17.6,6.3,0.316,4.16,0.257,21.3,87.5,7.4,172.2,31,716
"Abbott, Andrew",671096,2025,21.8,6.3,0.294,3.56,0.233,24.0,87.8,8.0,166.1,29,684
"Boyd, Matthew",571510,2025,21.4,5.8,0.301,3.74,0.24,23.1,88.5,9.0,179.2,31,718
"Keller, Mitch",656605,2025,20.0,6.8,0.326,4.45,0.259,20.6,90.1,7.8,176.1,32,749
"Martinez, Nick",607259,2025,17.0,6.1,0.312,4.04,0.257,19.9,88.3,7.0,165.2,40,683
"Rodriguez, Eduardo",593958,2025,20.6,8.6,0.328,4.51,0.259,23.0,88.2,8.2,154.1,29,694
"Kochanowicz, Jack",686799,2025,14.1,11.3,0.368,5.88,0.287,20.8,92.1,9.4,111.0,23,512
"Bassitt, Chris",605135,2025,22.6,7.1,0.316,4.16,0.252,23.3,87.7,8.5,170.1,32,736
"Leiter, Jack",683004,2025,22.9,10.4,0.326,4.45,0.235,24.3,90.5,10.8,151.2,29,646
"Lugo, Seth",607625,2025,20.5,9.0,0.348,5.16,0.256,20.6,90.7,11.1,145.1,26,611
"Imanaga, Shota",684007,2025,20.6,4.6,0.313,4.07,0.233,24.6,90.7,11.6,144.2,25,567
"Verlander, Justin",434378,2025,20.7,7.9,0.319,4.24,0.252,24.8,88.6,8.1,152.0,29,662
"Gore, MacKenzie",669022,2025,27.2,9.3,0.322,4.33,0.241,29.7,90.4,10.6,159.2,30,679
"Heaney, Andrew",571760,2025,16.0,7.5,0.362,5.66,0.284,19.9,90.2,10.3,122.1,27,536
"Cannon, Jonathan",686563,2025,18.5,8.2,0.354,5.37,0.271,21.4,90.3,10.8,103.2,22,466
"Anderson, Tyler",542881,2025,17.4,9.5,0.345,5.06,0.253,25.0,88.0,11.0,136.1,26,599
"Luzardo, Jesús",666200,2025,28.5,7.5,0.285,3.33,0.227,30.8,88.5,6.7,183.2,32,758
"Patrick, Chad",694477,2025,25.2,8.0,0.306,3.88,0.239,23.5,89.4,8.1,119.2,27,503
"Springs, Jeffrey",605488,2025,19.4,7.6,0.321,4.3,0.249,26.0,88.3,8.1,171.0,32,713
"Eovaldi, Nathan",543135,2025,26.0,4.2,0.271,3.0,0.219,27.7,88.6,7.4,130.0,22,496
"Peralta, Freddy",642547,2025,28.2,9.1,0.289,3.43,0.206,30.1,88.0,9.3,176.2,33,723
"Lodolo, Nick",666157,2025,24.3,4.8,0.291,3.48,0.227,27.5,88.8,8.2,156.2,29,642
"Kirby, George",669923,2025,26.1,5.5,0.306,3.88,0.249,26.7,90.6,8.6,126.0,23,524
"Junk, Janson",676083,2025,17.2,2.9,0.326,4.45,0.277,18.2,91.6,8.5,110.0,21,447
"Bello, Brayan",678394,2025,17.7,8.4,0.327,4.48,0.258,20.1,88.8,7.1,166.2,29,700
"Bradley, Taj",671737,2025,21.0,9.3,0.314,4.1,0.237,23.6,89.2,7.4,142.2,27,605
"Brown, Ben",676962,2025,25.6,6.8,0.329,4.55,0.254,28.3,92.4,11.4,106.1,25,472
"Bubic, Kris",663460,2025,24.4,8.2,0.278,3.16,0.221,28.8,87.6,6.6,116.1,20,476
"Gausman, Kevin",592332,2025,24.4,6.5,0.301,3.74,0.238,26.4,89.3,8.5,193.0,32,775
"Elder, Bryce",693821,2025,19.3,7.5,0.335,4.73,0.266,22.5,90.0,7.8,156.1,28,679
"Sánchez, Cristopher",650911,2025,26.3,5.5,0.272,3.02,0.225,30.4,89.0,5.7,202.0,32,807
"Crochet, Garrett",676979,2025,31.3,5.7,0.266,2.89,0.21,29.4,87.7,7.3,205.1,32,814
"Brown, Hunter",686613,2025,28.3,7.8,0.277,3.14,0.217,27.8,86.1,5.9,185.1,31,729
"Pfaadt, Brandon",694297,2025,19.2,4.8,0.351,5.27,0.284,22.1,90.8,10.9,176.2,33,767
"Williams, Gavin",668909,2025,24.6,11.8,0.321,4.3,0.231,27.7,90.4,9.0,167.2,31,704
"Morton, Charlie",450203,2025,22.8,11.0,0.333,4.67,0.246,27.9,91.2,8.6,142.0,33,654
"Márquez, Germán",608566,2025,14.0,8.1,0.366,5.81,0.287,18.6,91.7,11.1,126.1,26,591
"Allen, Logan",671106,2025,18.0,9.2,0.326,4.45,0.246,20.6,88.6,9.1,156.2,30,676
"Falter, Bailey",663559,2025,15.6,8.9,0.34,4.9,0.263,18.1,90.5,9.5,125.1,26,518
"Nelson, Ryne",669194,2025,21.3,6.6,0.308,3.93,0.245,21.6,91.4,7.5,154.0,33,619
"Woods Richardson, Simeon",680573,2025,22.7,9.8,0.304,3.82,0.214,24.1,90.2,11.4,111.1,23,471
"Burke, Sean",680732,2025,22.3,10.6,0.342,4.96,0.246,25.1,89.6,10.5,134.1,28,596
"Rogers, Trevor",669432,2025,24.3,6.9,0.288,3.41,0.225,25.6,89.7,7.6,109.2,18,423
"Povich, Cade",700249,2025,24.2,8.8,0.356,5.44,0.269,24.2,91.2,11.3,112.1,22,488
"Gray, Sonny",543243,2025,26.7,5.0,0.306,3.88,0.25,27.5,88.9,9.8,180.2,32,753
"Webb, Logan",657277,2025,26.2,5.4,0.295,3.58,0.246,24.7,89.7,8.3,207.0,34,856
"Pallante, Andre",669467,2025,15.5,8.7,0.321,4.3,0.258,22.3,89.2,6.6,162.2,31,715
"Smith, Shane",681343,2025,23.5,9.4,0.31,3.99,0.229,27.7,90.3,6.8,146.1,29,616
"Priester, Quinn",682990,2025,20.2,7.7,0.298,3.66,0.237,24.5,89.0,7.4,157.1,29,653
"Valdez, Framber",664285,2025,23.3,8.5,0.303,3.79,0.241,26.6,90.8,6.7,192.0,31,802
"Strider, Spencer",675911,2025,24.3,9.5,0.34,4.9,0.253,30.6,91.3,10.6,125.1,23,539
"Giolito, Lucas",608337,2025,19.7,9.1,0.345,5.06,0.264,22.9,90.3,9.0,145.0,26,613
"Horton, Cade",690990,2025,20.4,6.9,0.306,3.88,0.236,25.8,89.7,10.1,118.0,23,476
"Greene, Hunter",668881,2025,31.4,6.2,0.272,3.02,0.201,31.4,90.4,9.7,107.2,19,420
"Sears, JP",676664,2025,20.1,6.2,0.319,4.24,0.241,21.6,89.2,9.4,135.2,27,583
"Martin, Davis",663436,2025,17.3,8.0,0.347,5.13,0.272,21.6,90.7,9.8,142.2,26,601
"Flaherty, Jack",656427,2025,27.6,8.7,0.31,3.99,0.232,27.3,89.7,10.3,161.0,31,681
"Ryan, Joe",657746,2025,28.2,5.7,0.289,3.43,0.209,26.1,90.2,11.5,171.0,31,689
"Bibee, Tanner",676440,2025,21.3,7.1,0.297,3.64,0.226,23.8,88.5,8.1,182.1,31,762
"Quintana, Jose",500779,2025,16.0,9.0,0.349,5.2,0.269,18.4,88.7,9.7,131.2,24,556
"Vasil, Mike",678024,2025,19.4,12.3,0.312,4.04,0.227,24.0,89.3,7.2,101.0,47,423
"Littell, Zack",641793,2025,17.1,4.2,0.323,4.36,0.255,20.4,90.2,9.9,186.2,32,759
"Gilbert, Logan",669302,2025,32.3,5.8,0.275,3.09,0.206,32.9,90.8,8.6,131.0,25,535
"Holmes, Grant",656550,2025,25.0,11.0,0.329,4.55,0.239,29.7,90.1,10.1,115.0,22,492
"Lorenzen, Michael",547179,2025,21.0,6.4,0.331,4.61,0.26,23.4,89.3,8.8,141.2,27,606
"Warren, Will",701542,2025,24.1,9.1,0.33,4.58,0.252,24.6,91.0,10.9,162.1,33,711
"Civale, Aaron",650644,2025,20.2,7.6,0.314,4.1,0.233,21.8,88.5,9.8,102.0,23,435
"Corbin, Patrick",571578,2025,19.8,7.7,0.336,4.77,0.268,26.9,89.2,8.4,155.1,31,663
"Gallen, Zac",668678,2025,21.5,8.1,0.32,4.27,0.242,23.7,90.1,9.7,192.0,33,813
"Rasmussen, Drew",656876,2025,21.7,6.3,0.291,3.48,0.236,22.2,90.6,6.3,150.0,31,585
"Wheeler, Zack",554430,2025,33.3,5.6,0.247,2.49,0.189,31.5,87.4,7.2,149.2,24,585
"Woo, Bryan",693433,2025,27.1,4.9,0.274,3.07,0.215,26.2,89.1,9.1,186.2,30,731
"Buehler, Walker",621111,2025,16.3,10.6,0.355,5.41,0.268,19.2,87.9,9.5,126.0,26,564
"Yamamoto, Yoshinobu",808967,2025,29.4,8.6,0.258,2.71,0.198,28.9,88.3,5.7,173.2,30,684
"Roupp, Landen",694738,2025,21.4,9.5,0.319,4.24,0.248,25.2,88.4,8.9,106.2,22,476
"May, Dustin",669160,2025,21.1,9.6,0.349,5.2,0.261,20.0,90.6,9.2,132.1,25,584
"Vásquez, Randy",681190,2025,13.7,9.1,0.354,5.37,0.267,15.7,89.1,10.9,133.2,28,570
"Skubal, Tarik",669373,2025,32.2,4.4,0.258,2.71,0.206,32.5,86.1,8.1,195.1,31,748
"Baz, Shane",669358,2025,24.8,9.0,0.306,3.88,0.229,25.8,89.0,9.5,166.1,31,711
"Schwellenbach, Spencer",680885,2025,24.9,4.1,0.294,3.56,0.251,28.3,88.8,7.5,110.2,17,434
"Pepiot, Ryan",686752,2025,24.6,9.0,0.31,3.99,0.225,26.0,90.1,9.7,167.2,31,679
"Mize, Casey",663554,2025,22.2,5.7,0.298,3.66,0.236,24.1,90.0,9.2,149.0,28,627
"Kremer, Dean",665152,2025,20.1,6.4,0.304,3.82,0.238,22.9,88.1,8.7,171.2,31,708
"Houser, Adrian",605288,2025,17.8,7.3,0.312,4.04,0.254,18.1,90.2,6.1,125.0,21,518
"Kolek, Stephen",663568,2025,16.7,6.7,0.321,4.3,0.26,17.7,91.1,6.1,112.2,19,461
"Sugano, Tomoyuki",608372,2025,15.7,5.3,0.366,5.81,0.289,18.5,90.0,11.8,157.0,30,675
"Walker, Taijuan",592836,2025,16.0,7.8,0.33,4.58,0.259,18.5,89.6,7.4,123.2,34,538
"Freeland, Kyle",607536,2025,17.5,5.4,0.342,4.96,0.282,21.0,91.1,9.4,162.2,31,709
"Ray, Robbie",592662,2025,24.6,9.7,0.3,3.71,0.219,27.8,91.0,9.6,182.1,32,755
"Cease, Dylan",656302,2025,29.8,9.8,0.29,3.46,0.214,33.4,88.9,8.6,168.0,32,722
"Kelly, Merrill",518876,2025,22.3,6.4,0.316,4.16,0.25,24.1,90.2,9.3,184.0,32,748
"Gusto, Ryan",687473,2025,21.4,7.9,0.33,4.58,0.25,23.4,90.6,9.5,101.2,27,453
"Rea, Colin",607067,2025,19.2,6.6,0.328,4.51,0.261,22.0,89.8,10.3,159.1,32,662
"Soriano, José",667755,2025,21.0,10.8,0.312,4.04,0.242,27.0,91.4,7.2,169.0,31,724
"Kershaw, Clayton",477132,2025,18.1,7.6,0.303,3.79,0.249,24.3,89.7,4.1,112.2,23,463
"Hendricks, Kyle",543294,2025,16.4,6.2,0.308,3.93,0.246,18.3,86.1,8.3,164.2,31,695
"Senzatela, Antonio",622608,2025,11.8,7.6,0.395,6.98,0.319,18.1,90.9,9.3,130.0,30,618
"Liberatore, Matthew",669461,2025,18.8,6.2,0.339,4.86,0.272,20.2,90.6,10.6,151.2,29,648
"Lauer, Eric",641778,2025,23.9,6.1,0.306,3.88,0.24,23.7,90.6,8.1,104.2,28,426
